municipio,prioridad,presupuesto_asignado_MXN,porcentaje
Aquila,4.3,697313.66,6.9731
Ixtlán,4.05,678568.16,6.7857
Cabo Corrientes,4.05,662059.13,6.6206
Churumuco,3.9499999999999997,448270.65,4.4827
Coahuayana,4.05,415180.89,4.1518
San Blas,3.7,397898.37,3.979
Ixtlahuacán,3.6999999999999997,375435.75,3.7544
Casimiro Castillo,3.6999999999999997,375270.29,3.7527
La Huacana,3.6999999999999997,343890.06,3.4389
Tuzantla,3.6999999999999997,332907.85,3.3291
Chinicuila,3.6,329767.66,3.2977
Cuautitlán de García Barragán,3.6999999999999997,312721.63,3.1272
Ayutla,3.6999999999999997,309890.56,3.0989
Lázaro Cárdenas,3.7,298531.71,2.9853
Arteaga,3.6999999999999997,292754.89,2.9275
Tiquicheo de Nicolás Romero,3.6999999999999997,292372.38,2.9237
Gabriel Zamora,3.6999999999999997,291494.89,2.9149
Tomatlán,3.6999999999999997,288528.79,2.8853
Armería,3.7,273564.57,2.7356
La Huerta,3.8000000000000003,267356.86,2.6736
Cihuatlán,3.7,251328.88,2.5133
San Lucas,3.35,210024.45,2.1002
Villa Purificación,3.35,190855.13,1.9086
Tumbiscatío,3.6,183594.03,1.8359
Autlán de Navarro,3.3499999999999996,147346.6,1.4735
Tecomán,3.3499999999999996,127528.39,1.2753
Huetamo,3.5999999999999996,126820.6,1.2682
Carácuaro,3.35,111693.94,1.1169
Álvaro Obregón,3.4,106939.6,1.0694
Coalcomán de Vázquez Pallares,3.35,99574.75,0.9957
Parácuaro,3.35,92551.32,0.9255
Compostela,3.3499999999999996,88569.99,0.8857
Múgica,3.6999999999999997,85767.06,0.8577
Aguililla,3.35,56302.8,0.563
Turicato,3.35,48375.04,0.4838
Nocupétaro,3.35,42758.57,0.4276
Tancítaro,3.35,42512.06,0.4251
Minatitlán,3.35,39361.92,0.3936
Tecuala,3.3,32912.6,0.3291
Nuevo Urecho,3.35,25390.07,0.2539
Manzanillo,3.45,20178.27,0.2018
Tepalcatepec,3.35,18950.2,0.1895
Tzitzio,3.35,17872.0,0.1787
Coquimatlán,3.3499999999999996,17369.22,0.1737
San Sebastián del Oeste,3.35,16750.81,0.1675
Apatzingán,3.3499999999999996,11823.11,0.1182
Acaponeta,3.3,10928.03,0.1093
Ario,2.4499999999999997,7197.91,0.072
Purépero,2.4499999999999997,6674.22,0.0667
Bahía de Banderas,3.0999999999999996,5517.82,0.0552
Tuxcacuesco,3.35,4547.16,0.0455
Amatitán,2.1999999999999997,4377.35,0.0438
Sayula,2.55,3923.37,0.0392
Tanhuato,2.8,2805.06,0.0281
Angamacutiro,2.8,2266.34,0.0227
Contepec,2.4499999999999997,2199.08,0.022
Talpa de Allende,3.35,2185.14,0.0219
Yurécuaro,2.9,2165.05,0.0217
Uruapan,2.75,2117.33,0.0212
Atoyac,2.8,2090.36,0.0209
Penjamillo,2.4499999999999997,1918.67,0.0192
La Barca,2.5,1910.79,0.0191
Jacona,2.4499999999999997,1902.8,0.019
Quiroga,2.1999999999999997,1781.23,0.0178
Tuxpan,2.4499999999999997,1692.42,0.0169
Cherán,2.6999999999999997,1658.35,0.0166
Ruíz,3.05,1642.48,0.0164
Pihuamo,3.05,1486.43,0.0149
San Pedro Lagunillas,2.8,1441.96,0.0144
Cuautla,2.15,1370.96,0.0137
Huiramba,2.1999999999999997,1362.93,0.0136
Jungapeo,2.8,1327.59,0.0133
El Limón,3.1,1233.18,0.0123
Unión de Tula,3.1,1171.21,0.0117
Aporo,2.6999999999999997,1096.96,0.011
Zapotiltic,2.55,1082.87,0.0108
Huaniqueo,2.4499999999999997,1005.51,0.0101
El Arenal,2.4499999999999997,985.58,0.0099
Tizapán el Alto,2.55,952.48,0.0095
Tecalitlán,3.05,921.14,0.0092
El Grullo,3.1,837.01,0.0084
Santiago Ixcuintla,3.4,828.8,0.0083
Marcos Castellanos,2.9,801.21,0.008
Tamazula de Gordiano,2.8,788.06,0.0079
Tototlán,2.25,752.39,0.0075
Concepción de Buenos Aires,2.4499999999999997,736.85,0.0074
Tlajomulco de Zúñiga,2.4499999999999997,679.79,0.0068
Taretan,2.4499999999999997,609.89,0.0061
Ameca,2.4499999999999997,577.46,0.0058
Vista Hermosa,2.8,504.23,0.005
Zapotlán el Grande,2.4499999999999997,488.9,0.0049
Huajicori,3.0,478.37,0.0048
Zinapécuaro,2.1999999999999997,473.74,0.0047
San Miguel el Alto,1.9,462.76,0.0046
Colima,2.75,455.86,0.0046
Mezquitic,2.65,404.52,0.004
Tuxcueca,2.9,382.3,0.0038
Salvador Escalante,2.4499999999999997,372.46,0.0037
Mazamitla,2.4499999999999997,360.48,0.0036
Tonaya,2.75,350.73,0.0035
Zamora,2.4499999999999997,315.92,0.0032
Zitácuaro,2.0999999999999996,306.46,0.0031
Acuitzio,2.4499999999999997,293.56,0.0029
José Sixto Verduzco,2.55,286.62,0.0029
Villamar,2.55,286.43,0.0029
Degollado,1.9,285.99,0.0029
Venustiano Carranza,2.8,283.48,0.0028
Ayotlán,2.5,280.79,0.0028
El Nayar,2.65,265.6,0.0027
Mixtlán,3.0,257.07,0.0026
Erongarícuaro,2.4499999999999997,242.8,0.0024
Charo,2.4499999999999997,234.69,0.0023
Etzatlán,2.1999999999999997,223.53,0.0022
Teocuitatlán de Corona,2.1999999999999997,211.13,0.0021
Zapotlanejo,2.1999999999999997,207.35,0.0021
Morelos,2.4499999999999997,180.1,0.0018
Jocotepec,2.55,175.52,0.0018
Queréndaro,2.1999999999999997,166.96,0.0017
Puruarán,3.35,137.18,0.0014
Mexticacán,2.15,133.6,0.0013
Ixtlán del Río,2.8,125.08,0.0013
Lagos de Moreno,1.9,109.49,0.0011
Tonalá,2.0999999999999996,95.93,0.001
Zapotitlán de Vadillo,2.4499999999999997,92.11,0.0009
Acatlán de Juárez,2.8,89.33,0.0009
Tzintzuntzan,2.4499999999999997,88.74,0.0009
Santa María del Oro,2.15,87.87,0.0009
Amatlán de Cañas,2.8,87.61,0.0009
Ecuandureo,2.8,85.36,0.0009
